document_id,relative_path,file_format,document_type,review_task_id,project_id,contract_package_id,subcontract_team_id,basis_version_id,content_hash
DOC-001,01_project_basis/01_项目概况与合同段划分说明.docx,docx,project_basis,project-context,project-njdl-jd-a1,contract-jd-a1,team-lj-01,basis-njdl-2026-01,2d916bed5c2e14a47ebc5ad79f09c865ed2dcc5ce5a00dce5d496a88b7d0c6a1
DOC-002,02_contract_and_supervision/02_JD-A1合同段主要合同条款摘编.docx,docx,contract_basis,project-context,project-njdl-jd-a1,contract-jd-a1,team-lj-01,basis-njdl-2026-01,a404729f49af2f337c542aebfff8f46d3b4f46f873b6484cc61245fbf6dbd265
DOC-003,02_contract_and_supervision/03_JL-01监理规划摘编.docx,docx,supervision_basis,project-context,project-njdl-jd-a1,contract-jd-a1,team-lj-01,basis-njdl-2026-01,cfeab3de2627494c542442a064b715f406ec2da7d69acbd6c2d3ee4f69166d5e
DOC-004,02_contract_and_supervision/04_开工条件审查实施细则.docx,docx,review_rule,opening-condition-lj01,project-njdl-jd-a1,contract-jd-a1,team-lj-01,basis-njdl-2026-01,8ff9aa8ca50b88b5f675a4909d009e8a0b663478b40fe124d027532c2b12df68
DOC-005,02_contract_and_supervision/05_施工方案审查实施细则.docx,docx,review_rule,construction-plan-lj01,project-njdl-jd-a1,contract-jd-a1,team-lj-01,basis-njdl-2026-01,30cf27cc5bc26147712aa5ee72e580c59d10d44e3d5a71b5234a31c54fbfd4df
DOC-006,02_contract_and_supervision/06_项目资料命名与归档规则.docx,docx,archive_rule,project-context,project-njdl-jd-a1,contract-jd-a1,team-lj-01,basis-njdl-2026-01,e9fe6ea4c497f0e4cf17a0dff9e08710f6b3df72a06548a4366777ada0cce9ad
DOC-007,03_team_lj01_opening_condition/07_LJ-01分包合同范围说明.docx,docx,subcontract_scope,opening-condition-lj01,project-njdl-jd-a1,contract-jd-a1,team-lj-01,basis-njdl-2026-01,3cbeff534ba4483e0ec94d018d3e193daa7bf9a2b5a84df186ac96e4482c03d5
DOC-008,03_team_lj01_opening_condition/08_LJ-01企业资质与安全生产许可证摘录.docx,docx,team_qualification,opening-condition-lj01,project-njdl-jd-a1,contract-jd-a1,team-lj-01,basis-njdl-2026-01,d564345790fc0e9416cb95839d2c4722f8d26c8ca041b34884e49b89b0073d92
DOC-009,03_team_lj01_opening_condition/09_LJ-01项目负责人任命书.docx,docx,personnel,opening-condition-lj01,project-njdl-jd-a1,contract-jd-a1,team-lj-01,basis-njdl-2026-01,b7537f0c90ef53f1ea41dc917e70d5f54a8786194f98795cacd3383edda888ac
DOC-014,03_team_lj01_opening_condition/14_LJ-01开工申请表.docx,docx,opening_application,opening-condition-lj01,project-njdl-jd-a1,contract-jd-a1,team-lj-01,basis-njdl-2026-01,9ba46c27d9f7e7de8a380f1c23f21e75da92b2425b717a7d51a7cbe84877139f
DOC-015,03_team_lj01_opening_condition/15_LJ-01施工组织与人员进场报审表.docx,docx,opening_attachment,opening-condition-lj01,project-njdl-jd-a1,contract-jd-a1,team-lj-01,basis-njdl-2026-01,d375e284c8fb86f9525a65fccb9f9871b322ca1219d80c6e2f59d3284c810c2e
DOC-016,03_team_lj01_opening_condition/16_LJ-01安全技术交底记录.docx,docx,safety_disclosure,opening-condition-lj01,project-njdl-jd-a1,contract-jd-a1,team-lj-01,basis-njdl-2026-01,55dfc2e49b7292c553e498b5942017052d9126de2a8a075070e23f04f991a398
DOC-018,03_team_lj01_opening_condition/18_LJ-01临时排水与便道准备情况说明.docx,docx,site_preparation,opening-condition-lj01,project-njdl-jd-a1,contract-jd-a1,team-lj-01,basis-njdl-2026-01,b8a4ab459caa826862aa331088de8ccfd6c41b6f366740e8f6c24460d1401ab7
DOC-019,04_team_lj01_construction_plan/19_K12-K18路基填筑施工方案.docx,docx,construction_plan,construction-plan-lj01,project-njdl-jd-a1,contract-jd-a1,team-lj-01,basis-njdl-2026-01,6815cc85488da41e44e8b9de2e8d06e1e5717d94402f2dd33d075a1223825e40
DOC-020,04_team_lj01_construction_plan/20_路基填料来源与试验报告摘要.docx,docx,material_test,construction-plan-lj01,project-njdl-jd-a1,contract-jd-a1,team-lj-01,basis-njdl-2026-01,362bac467ec76adb4c655bc47136eeb3e93b13e64d9033e12045a0d3117b2daa
DOC-021,04_team_lj01_construction_plan/21_路基填筑质量控制与检测计划.docx,docx,quality_plan,construction-plan-lj01,project-njdl-jd-a1,contract-jd-a1,team-lj-01,basis-njdl-2026-01,234f4aad65fe0ed4d15a7b49a2be9cd1184ec943c27650259293f64657c068b6
DOC-022,04_team_lj01_construction_plan/22_路基施工安全风险辨识与控制措施.docx,docx,safety_plan,construction-plan-lj01,project-njdl-jd-a1,contract-jd-a1,team-lj-01,basis-njdl-2026-01,104fc5f67b154eb93758f87f5bdd4e0900b5b7ada5102431ed71db27e97d39f2
DOC-023,05_review_examples/23_历史样例_开工条件审查通过案例.docx,docx,review_example,opening-condition-lj01,project-njdl-jd-a1,contract-jd-a1,team-lj-01,basis-njdl-2026-01,ea3a4f2f8f7bd803ce2298d85303c35f980e61690b625b405f5029f7cc525fb6
DOC-024,05_review_examples/24_历史样例_施工方案审查退回修改案例.docx,docx,review_example,construction-plan-lj01,project-njdl-jd-a1,contract-jd-a1,team-lj-01,basis-njdl-2026-01,a02483fd448bbfaaf21db9259310a132e1c9735e09e9f459c9712f09fc7a44f0
SRC-001,06_source_norms/SRC-001_公路工程施工监理规范_开工与方案审查摘要.docx,docx,official_source_summary,project-context,project-njdl-jd-a1,contract-jd-a1,team-lj-01,basis-njdl-2026-01,895c6b8625b09b8ecfd44bb33da9d2af31deb7f8cf487430e4053af161c0f5be
SRC-002,06_source_norms/SRC-002_质量检验评定标准_土建工程评定框架摘要.docx,docx,official_source_summary,construction-plan-lj01,project-njdl-jd-a1,contract-jd-a1,team-lj-01,basis-njdl-2026-01,c34dc72cc70bd6dd765c2af14b1e97ec248072b5ffc5bf6dbb2b474045f18cd7
SRC-003,06_source_norms/SRC-003_施工安全技术规范_风险控制摘要.docx,docx,official_source_summary,construction-plan-lj01,project-njdl-jd-a1,contract-jd-a1,team-lj-01,basis-njdl-2026-01,800a3d3517a1984ff15039b864f2bd688f993b52e47db3dd2848ad7c82177d97
SRC-004,06_source_norms/SRC-004_路基施工技术规范_填筑控制摘要.docx,docx,official_source_summary,construction-plan-lj01,project-njdl-jd-a1,contract-jd-a1,team-lj-01,basis-njdl-2026-01,629f1f25b8fad48bd5b829729d2db604e0122cd6454c056c16d2a69eb0c1817d
SRC-006,06_source_norms/SRC-006_标准施工招标文件_合同与技术规范摘要.docx,docx,official_source_summary,project-context,project-njdl-jd-a1,contract-jd-a1,team-lj-01,basis-njdl-2026-01,1ba9958e2204731521c7007a4c9e078f87aee35e3632d487d9ef90ff23fecc77
DOC-010,03_team_lj01_opening_condition/10_LJ-01安全员与质检员证书清单.xlsx,xlsx,personnel,opening-condition-lj01,project-njdl-jd-a1,contract-jd-a1,team-lj-01,basis-njdl-2026-01,2f4d8af689133505dad6877e4fe4d985a8353609489b6804ff022e373c8b8975
DOC-011,03_team_lj01_opening_condition/11_LJ-01特种作业人员清单.xlsx,xlsx,personnel,opening-condition-lj01,project-njdl-jd-a1,contract-jd-a1,team-lj-01,basis-njdl-2026-01,53f792dfb164f4af3c5fc432eca426910e7e62d04787aa288cbd2cbdba266863
DOC-012,03_team_lj01_opening_condition/12_LJ-01主要机械设备进场清单.xlsx,xlsx,equipment,opening-condition-lj01,project-njdl-jd-a1,contract-jd-a1,team-lj-01,basis-njdl-2026-01,9458cff6e0189c40f86043294b4666d2da55e3a0ab7ceda7a37e96d501acb6df
DOC-013,03_team_lj01_opening_condition/13_LJ-01测量与试验仪器校验证明清单.xlsx,xlsx,calibration,opening-condition-lj01,project-njdl-jd-a1,contract-jd-a1,team-lj-01,basis-njdl-2026-01,01d69f12d155611579e6ae4b5540ff0c8fca6e41d9122d22319bc9ac4998c345
DOC-017,03_team_lj01_opening_condition/17_LJ-01三级安全教育记录.xlsx,xlsx,safety_training,opening-condition-lj01,project-njdl-jd-a1,contract-jd-a1,team-lj-01,basis-njdl-2026-01,a55edbe66ac81c52a928202716e71710f4dfbc3c4a8621fd24cf199e99f2365e
